Sexe,PaysNat.,Doublement,DateEntrée,DateSortie,AdhesionTransport,CodeRegime,LibRegime,CleGestionMatEnseignee1,LibMatEnseignee1,CleGestionMatEnseignee2,LibMatEnseignee2,CodeModaliteElect2,LibModaliteElect2,CleGestionMatEnseignee3,LibMatEnseignee3,CodeModaliteElect3,LibModaliteElect3,CleGestionMatEnseignee4,LibMatEnseignee4,CodeModaliteElect4,LibModaliteElect4,CleGestionMatEnseigne5,LibMatEnseignee5,CodeModaliteElect5,LibModaliteElect5,CleGestionMatEnseigne6,LibMatEnseignee6,CodeModaliteElect6,LibModaliteElect6
F,FRANCE,N,01/09/2016,,O,25,DP 5 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,AGL4,ANGLAIS APPROFONDI,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,
M,FRANCE,N,01/09/2016,04/09/2017,N,2,DP DAN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SES,SC. ECONO.& SOCIALES,O,OBLIGATOIR,ICN,INFORM.&CREAT.NUMER.,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,MUSIQ,MUSIQUE,F,FACULTATIF
M,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,
F,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,AGL4,ANGLAIS APPROFONDI,O,OBLIGATOIR,,,,,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,MUSIQ,MUSIQUE,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,AGL4,ANGLAIS APPROFONDI,O,OBLIGATOIR,,,,,,,,
F,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,,,,,
F,FRANCE,N,09/01/2017,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ITA2,ITALIEN LV2,O,OBLIGATOIR,MUSIQ,MUSIQUE,F,FACULTATIF,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,ITA3,ITALIEN LV3,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ESP 8,LITT. ESPAGNOL,O,OBLIGATOIR,ITA3,ITALIEN LV3,O,OBLIGATOIR,,,,,,,,
M,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PH-CH,PHYSIQUE-CHIMIE,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ITA2,ITALIEN LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ITA2,ITALIEN LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,25,DP 5 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,MUSIQ,MUSIQUE,F,FACULTATIF,,,,
F,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,N,25,DP 5 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PH-CH,PHYSIQUE-CHIMIE,O,OBLIGATOIR,LCAGR,LCA GREC,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,AGL4,ANGLAIS APPROFONDI,O,OBLIGATOIR,,,,,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ITA2,ITALIEN LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ITA2,ITALIEN LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,04/09/2017,N,2,DP DAN,AGL1,ANGLAIS LV1,ITA2,ITALIEN LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ITA2,ITALIEN LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,MUSIQ,MUSIQUE,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,N,25,DP 5 J,AGL1,ANGLAIS LV1,ITA2,ITALIEN LV2,O,OBLIGATOIR,PH-CH,PHYSIQUE-CHIMIE,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PH-CH,PHYSIQUE-CHIMIE,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,O,25,DP 5 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,
F,FRANCE,N,01/09/2016,,N,25,DP 5 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,
M,FRANCE,O,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,MUSIQ,MUSIQUE,F,FACULTATIF,,,,
F,FRANCE,N,01/09/2016,,O,25,DP 5 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,
M,FRANCE,N,01/09/2016,,N,25,DP 5 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,25/11/2017,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,O,01/09/2016,19/09/2018,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,MUSIQ,MUSIQUE,F,FACULTATIF,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,04/09/2017,N,2,DP DAN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,SENEGAL,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,AGL4,ANGLAIS APPROFONDI,O,OBLIGATOIR,,,,,,,,
F,FRANCE,N,01/09/2016,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,ITA3,ITALIEN LV3,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,A-PLA,ARTS PLASTIQUES,F,FACULTATIF
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,02/10/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2016,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,ITA3,ITALIEN LV3,F,FACULTATIF,,,,
F,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,ITA3,ITALIEN LV3,F,FACULTATIF,,,,
M,FRANCE,N,01/09/2016,,O,25,DP 5 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,ITA3,ITALIEN LV3,F,FACULTATIF,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PH-CH,PHYSIQUE-CHIMIE,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,ITA3,ITALIEN LV3,F,FACULTATIF,,,,
F,FRANCE,N,01/09/2016,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,O,25,DP 5 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,MUSIQ,MUSIQUE,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,O,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2016,,O,25,DP 5 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,AGL4,ANGLAIS APPROFONDI,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,ITA3,ITALIEN LV3,F,FACULTATIF
F,FRANCE,N,01/09/2016,,O,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,ITA3,ITALIEN LV3,F,FACULTATIF,,,,
